loop,addresses_generated,predictions_submitted,correct_predictions,incorrect_predictions,missing_predictions,extra_predictions,accuracy,coverage,cache_hits,cache_misses,predictor_runtime,simulation_runtime,workload_runtime,memory_bytes,energy
1,1024,0,0,0,1024,0,0.000000,0.000000,140,884,0.012034,0.000135,0.005148,0,4560.000000
2,1024,1024,292,732,0,0,28.515625,100.000000,140,884,0.013226,0.000238,0.004678,8192,4662.400000
3,1024,1024,287,737,0,0,28.027344,100.000000,136,888,0.012445,0.000290,0.005338,8192,4678.400000
4,1024,1024,289,735,0,0,28.222656,100.000000,145,879,0.012177,0.000144,0.005512,8192,4642.400000
5,1024,1024,294,730,0,0,28.710938,100.000000,163,861,0.013587,0.000149,0.005355,8192,4570.400000
6,1024,1024,292,732,0,0,28.515625,100.000000,150,874,0.012169,0.000257,0.004879,8192,4622.400000
7,1024,1024,294,730,0,0,28.710938,100.000000,142,882,0.012833,0.000163,0.004754,8192,4654.400000
8,1024,1024,283,741,0,0,27.636719,100.000000,134,890,0.012379,0.000133,0.005215,8192,4686.400000
9,1024,1024,297,727,0,0,29.003906,100.000000,141,883,0.012012,0.000132,0.006464,8192,4658.400000
10,1024,1024,289,735,0,0,28.222656,100.000000,171,853,0.012965,0.000263,0.005531,8192,4538.400000
11,1024,1024,294,730,0,0,28.710938,100.000000,151,873,0.012916,0.000154,0.004948,8192,4618.400000
12,1024,1024,289,735,0,0,28.222656,100.000000,142,882,0.013118,0.000140,0.005166,8192,4654.400000
13,1024,1024,297,727,0,0,29.003906,100.000000,146,878,0.012211,0.000247,0.005379,8192,4638.400000
14,1024,1024,287,737,0,0,28.027344,100.000000,151,873,0.011935,0.000137,0.004659,8192,4618.400000
15,1024,1024,283,741,0,0,27.636719,100.000000,149,875,0.012505,0.000137,0.005395,8192,4626.400000
16,1024,1024,289,735,0,0,28.222656,100.000000,159,865,0.011731,0.000138,0.004540,8192,4586.400000
17,1024,1024,281,743,0,0,27.441406,100.000000,153,871,0.012917,0.000190,0.005864,8192,4610.400000
18,1024,1024,286,738,0,0,27.929688,100.000000,161,863,0.012809,0.000151,0.005417,8192,4578.400000
19,1024,1024,285,739,0,0,27.832031,100.000000,162,862,0.013515,0.000147,0.004964,8192,4574.400000
